timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-09T12:02:03Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:04Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:04Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:04Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:04Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:05Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:05Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:05Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:05Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:07Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:07Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:07Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:07Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:08Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:08Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:08Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:08Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:09Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:09Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:09Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:09Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:10Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:10Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:10Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:10Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:11Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:11Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:11Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:11Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:13Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:13Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:13Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:13Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:14Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:14Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:14Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:14Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:15Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:15Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:15Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:15Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:16Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:16Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:16Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:16Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:17Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:17Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:17Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:17Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:19Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:19Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:19Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:19Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:20Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:20Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:20Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:20Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:21Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:21Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:21Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:21Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:22Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:22Z,istio-system,ztunnel-42djx,istio-proxy,300486874n,65128Ki
2025-04-09T12:02:22Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:22Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:24Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:24Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:24Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:24Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:25Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:25Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:25Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:25Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:26Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
2025-04-09T12:02:26Z,istio-system,ztunnel-42djx,istio-proxy,386050127n,65128Ki
2025-04-09T12:02:26Z,istio-system,ztunnel-jmfmq,istio-proxy,113139n,1812Ki
2025-04-09T12:02:26Z,service-mesh-benchmark,waypoint-855dfcf87c-5h8jk,istio-proxy,1190589096n,258484Ki
2025-04-09T12:02:27Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5541058n,65492Ki
